relatienummer,rapportageset,formulier_id,volgnummer,periode,inzendmoment,laad_dts,eind_dts,categorie,relatienaam,verkorte_naam,toezichtklasse,activiteitstatus,hoofdcategorie,subcategorie,ziektekosten,rechtsopvolger,concern_id,concern_naam,rapportageID,A,R0110C0020,R0120C0020,R0210C0020,R0221C0020,R0230C0020,R0231C0020,R0240C0020,R0250C0020,R0261C0020,R0270C0020,R0271C0020,R0280C0020,R0291C0020,R0292C0020,R0293C0020,R0294C0020,R0295C0020,R0296C0020,R0297C0020,R0298C0020,R0300C0020,R0410C0020,R0412C0020,R0413C0020,R0414C0020,R0430C0020,R0440C0020,R0450C0020,R0461C0020,R0462C0020,R0480C0020,R0481C0020,R0482C0020,R0483C0020,R0500C0020,R0610C0020,R0620C0020,R0110C0030,R0120C0030,R0210C0030,R0250C0030,R0291C0030,R0292C0030,R0300C0030,R0410C0030,R0412C0030,R0413C0030,R0414C0030,R0430C0030,R0440C0030,R0450C0030,R0461C0030,R0462C0030,R0480C0030,R0481C0030,R0482C0030,R0483C0030,R0610C0030,R0620C0030,R0110C0040,R0120C0040,R0210C0040,R0221C0040,R0230C0040,R0231C0040,R0240C0040,R0250C0040,R0261C0040,R0270C0040,R0271C0040,R0280C0040,R0291C0040,R0292C0040,R0293C0040,R0294C0040,R0295C0040,R0296C0040,R0297C0040,R0298C0040,R0300C0040,R0410C0040,R0412C0040,R0413C0040,R0414C0040,R0430C0040,R0440C0040,R0450C0040,R0461C0040,R0462C0040,R0480C0040,R0481C0040,R0482C0040,R0483C0040,R0610C0040,R0620C0040,R0110C0050,R0120C0050,R0210C0050,R0250C0050,R0291C0050,R0292C0050,R0300C0050,R0410C0050,R0412C0050,R0413C0050,R0414C0050,R0430C0050,R0440C0050,R0450C0050,R0461C0050,R0462C0050,R0480C0050,R0481C0050,R0482C0050,R0483C0050,R0610C0050,R0620C0050,R0110C0070,R0120C0070,R0210C0070,R0250C0070,R0291C0070,R0292C0070,R0300C0070,R0410C0070,R0412C0070,R0413C0070,R0414C0070,R0430C0070,R0440C0070,R0450C0070,R0461C0070,R0462C0070,R0480C0070,R0481C0070,R0482C0070,R0483C0070,R0610C0070,R0620C0070,PAGEs2c_AO,R0220C0020,R0260C0020,R0460C0020,R0470C0020,R0460C0030,R0470C0030,R0220C0040,R0260C0040,R0460C0040,R0470C0040,R0460C0050,R0470C0050,R0460C0070,R0470C0070,R0290C0020,R0411C0020,R0290C0030,R0411C0030,R0290C0040,R0411C0040,R0290C0050,R0411C0050,R0290C0070,R0411C0070
L0029,ZSOLV2JARSXX,S_26_01_01_01,1,31-12-2018,17APR2019:14:54:58,17APR2019:20:07:30,23APR2019:20:09:04,Leven,"Onderlinge Levensverzekering-Maatschappij ""'s-Gravenhage"" U.A.","Onderlinge Levensverzekering-Maatschappij ""'s-Gravenhage"" UA",T3,Actief,Verzekeraars,Levensverzekeraar,,,L0029,"Onderlinge Levensverzekering-Maatschappij ""'s-Gravenhage"" U.A.",811620000,,2260186349.5,2260186349.5,144321155.59,,,,,18800000.0,,18800000.0,,,,,,,,,,,139861000.0,91657966.12,,,,,,,,,,,,,2311488088.41,64574197.11,64574197.11,2162684000.0,2162684000.0,2162684000.0,,,,,,,,,,,,,,,,,,,,2361009163.9,1991499715.47,105115291.49,,,,,14664000.0,,14664000.0,,,,,,,,,,,104895750.0,88747043.79,,,,,,,,,,,,,48430647.83,48430647.83,2280646000.0,1884529000.0,2162684000.0,,,,,,,,,,,,,,,,,,,,2280646000.0,1884529000.0,2162684000.0,,,,,,,,,,,,,,,,,,,,No,144321155.59,,,,,,105115291.49,,,,,,,,,,,,,,,,,
W1219,ZSOLV2JARSXX,S_26_01_01_01,1,31-12-2018,17APR2019:16:13:13,17APR2019:20:07:30,23APR2019:20:09:04,"Schade, exclusief zorg",ABN AMRO Schadeverzekering N.V.,ABN AMRO Schadeverzekering N.V.,T4,Actief,Verzekeraars,"Schade, exclusief zorg",,,R111302,NN Group N.V.,811810000,,280426496.65,280426496.65,31767180.66,,,,,,,,,,,,,,,,,,,84964439.78,,,,,,13144395.0,,,,,,,281191886.75,,,172574963.46,172574963.46,,,,,,,,,,,,,,,,,,,,,284403972.52,264383363.05,21390997.63,,,,,,,,,,,,,,,,,,,79632589.31,,,,,,12001687.57,,,,,,,,,173054588.13,167543223.48,,,,,,,,,,,,,,,,,,,,,173054588.13,167543223.48,,,,,,,,,,,,,,,,,,,,,No,31767180.66,,12931788.63,212606.37,,,21390997.63,,12001687.57,,,,,,,,,,,,,,,
R140256,ZSOLV2JARSXX,S_26_01_01_01,1,31-12-2018,17APR2019:16:29:25,17APR2019:20:07:30,01JAN5999:00:00:00,Leven,Lifetri Verzekeringen N.V.,,T3,Niet actief,Verzekeraars,Levensverzekeraar,,,R140256,Lifetri Verzekeringen N.V.,811880000,,2875518.21,2875518.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2875518.21,2875518.21,,,,,,,,,,,,,,,,,,,,,3108276.52,2474588.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3108276.52,2474588.98,,,,,,,,,,,,,,,,,,,,,3108276.52,2474588.98,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,
W0064,ZSOLV2JARSXX,S_26_01_01_01,1,31-12-2018,17APR2019:17:43:50,17APR2019:20:07:30,02SEP2019:20:03:36,"Schade, exclusief zorg",N.V. Verzekeringsbedrijf Groot Amsterdam (VGA),"Groot Amsterdam, Verzekeringsbedrijf N.V.",T2,Actief,Verzekeraars,"Schade, exclusief zorg",,,W0064,N.V. Verzekeringsbedrijf Groot Amsterdam (VGA),811970000,,26649885.14,26649885.14,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,,0.0,26649885.14,26649885.14,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,26649885.14,0.0,0.0,21688967.71,21688967.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,26835802.27,25317542.81,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,,0.0,26065576.21,26065576.21,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,21837350.6,20725234.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,21837350.6,20725234.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
L0150,ZSOLV2JARSXX,S_26_01_01_01,1,31-12-2018,17APR2019:17:57:23,17APR2019:20:07:30,23APR2019:20:09:04,Leven,ABN AMRO Levensverzekering N.V.,ABN AMRO Levensverzekering N.V.,T4,Niet actief,Verzekeraars,Levensverzekeraar,,L0046,L0150,ABN AMRO Levensverzekering N.V.,812010000,,3201901257.08,3201901257.08,59918557.44,,,,,,,,,,,,,,,,,,,323155252.63,,,,,,53411891.49,,,,,,,877434837.96,,,4022602610.31143,4022602610.31143,1142946236.03071,,,,,,,,,,,,,,,,,,1142946236.03071,1142946236.03071,3239536388.06,3022417754.06,40347229.24,,,,,,,,,,,,,,,,,,,301041876.59,,,,,,48797078.52,,,,,,,,,4061883638.50143,3851454356.53143,1148019205.46071,,,,,,,,,,,,,,,,,,1336084621.85071,1140052355.73071,4061883638.50143,3851454356.53143,1148019205.46071,,,,,,,,,,,,,,,,,,1336084621.85071,1140052355.73071,No,59918557.44,,52428587.02,983304.47,,,40347229.24,,48797078.52,,,,,,,,,,,,,,,
L0116,ZSOLV2JARSXX,S_26_01_01_01,1,31-12-2018,17APR2019:19:46:06,18APR2019:20:06:56,18JUN2019:20:05:50,Leven,Robein Leven N.V.,Robein Leven N.V.,T3,Actief,Verzekeraars,Levensverzekeraar,,,L0116,Robein Leven N.V.,811920000,,80570084.0,80570084.0,141301704.01,,2848976.0,,,7246004.09,,,,,,,,,,,,,,68198425.84,68198425.84,,,,,,,,,,,,65079405.98,,,260145703.5851,260145703.5851,137400860.263057,7114251.32820259,,,,68198425.84,68198425.84,,,,,,,,,,,,,,80950097.5260489,77677522.9174191,84047753.53391,,2222201.28,,,3557785.00819,,,,,,,,,,,,,,66070137.9445638,66070137.9445638,,,,,,,,,,,,,,260766532.450888,256665258.930394,85049124.5069674,3771715.24639259,,,,68198425.84,68198425.84,,,,,,,,,,,,,,260766532.450888,256665258.930394,85049124.5069674,3771715.24639259,,,,68198425.84,68198425.84,,,,,,,,,,,,,,No,138452728.01,7246004.09,,,,,81825552.25391,3557788.00819,,,,,,,,,,,,,,,,
W1963,ZSOLV2JARSXX,S_26_01_01_01,1,31-12-2018,18APR2019:12:53:26,18APR2019:20:06:56,01JAN5999:00:00:00,"Schade, exclusief zorg",Univé Noord-Nederland Verzekeraar N.V.,Univé Noord-Nederland Verzekeraar N.V.,T3,Actief,Verzekeraars,"Schade, exclusief zorg",,,C0152,Coöperatie Univé Noord - Nederland U.A.,813200000,,21021277.1284125,21021277.1284125,6749494.20594162,,0.0,,0.0,409801.642631182,,0.0,,0.0,0.0,0.0,,,,,,,0.0,9267467.52,9267467.52,0.0,0.0,0.0,0.0,,,,0.0,,,,19751783.3685307,0.0,3664243.74921655,16484450.5236939,16484450.5236939,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,0.0,0.0,21082709.2822087,20357115.3702057,4544892.2918704,,0.0,,0.0,234967.080072719,,0.0,,0.0,0.0,0.0,,,,,,,0.0,8679728.98960833,8679728.98960833,0.0,0.0,0.0,0.0,,,,0.0,,,,0.0,2790486.16895436,16484555.1174171,16339223.6143765,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,0.0,0.0,16484555.1174171,16339223.6143765,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,0.0,0.0,No,6749494.20594162,409801.642631182,0.0,0.0,0.0,0.0,4544892.2918704,234967.080072719,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
W1986,ZSOLV2JARSXX,S_26_01_01_01,1,31-12-2018,18APR2019:12:58:32,18APR2019:20:06:56,01JAN5999:00:00:00,"Schade, exclusief zorg",TVM verzekeringen N.V.,TVM zakelijk N.V.,T3,Actief,Verzekeraars,"Schade, exclusief zorg",,,C0066,Coöperatie TVM U.A.,813210000,,403928045.0,403928045.0,43766176.7344467,,,,,237448.676370049,,,,,,,,,,,,,71590.715248874,343672500.685003,343672500.685003,,,,,,,,,,,,405665737.472051,39630894.5566314,39630894.5566314,222827671.0,222827671.0,,,,,,,,,,,,,,,,,,,,,407167264.0,385188343.0,29470735.6301356,,,,,136145.433256462,,,,,,,,,,,,,53693.036436656,330343222.321314,330343222.321314,,,,,,,,,,,,49538618.1957892,29723170.9174735,223756183.0,215277819.0,,,,,,,,,,,,,,,,,,,,,223756183.0,215277819.0,,,,,,,,,,,,,,,,,,,,,No,43766176.7344467,237448.676370049,,,,,29470735.6301356,136145.433256462,,,,,,,,,,,,,,,,
W1650,ZSOLV2JARSXX,S_26_01_01_01,1,31-12-2018,18APR2019:13:54:12,18APR2019:20:06:56,30JUL2019:20:04:31,"Schade, exclusief zorg",UVM Verzekeringsmaatschappij N.V.,UVM Verzekeringsmaatschappij N.V.,T3,Actief,Verzekeraars,"Schade, exclusief zorg",,,C0064,ANWB B.V.,813560000,,362333493.893554,362333493.893554,47438859.2434036,,,,,3351660.77654928,,,,,,,,,,,,,5400000.0,111607930.587403,111607930.587403,,,,,,,,,,,,262605913.80124,123602007.235655,123602007.235655,288082821.488012,288082821.488012,,,,,,,,,,,,,,,,,,,113628347.939991,113628347.939991,364351978.604147,349078830.779027,31943801.8961616,,,,,1921734.47975282,,,,,,,,,,,,,4050000.0,103039694.693809,103039694.693809,,,,,,,,,,,,154399158.609667,92804855.8616422,288694815.90597,280906454.663271,,,,,,,,,,,,,,,,,,,142035434.924989,85221260.9549939,288694815.90597,280906454.663271,,,,,,,,,,,,,,,,,,,142035434.924989,85221260.9549939,No,47438859.2434036,3351660.77654928,,,,,31943801.8961616,1921734.47975282,,,,,,,,,,,,,,,,
L0216,ZSOLV2JARSXX,S_26_01_01_01,2,31-12-2018,18APR2019:15:09:26,18APR2019:20:06:56,20JUN2019:20:05:31,Leven,SRLEV N.V.,SRLEV N.V.,T4,Actief,Verzekeraars,Levensverzekeraar,,,C0006,Athora Netherlands N.V.,814030000,,38697193420.31,38697193420.31,55069563.88,,0.0,,0.0,269029868.37,,107647356.93,,0.0,,,,,,,,,329587382.04,28876613665.83,28876613665.83,,,0.0,0.0,664610447.77,,,,,,,26490691720.42,-109711.32,180748033.64,44589288648.86,44589288648.86,14566091981.39,0.0,,,0.0,,0.0,,,0.0,0.0,,,,,,,,0.0,18876188.58,40284051619.95,34457785418.89,37086697.85,,0.0,,0.0,176500981.4,,83964938.41,,0.0,,,,,,,,,245552497.75,28270365947.79,28270365947.79,,,0.0,0.0,628744201.55,,,,,,,-137139.15,135561025.23,46264003972.91,40847459059.48,14701122103.41,0.0,,,0.0,,0.0,,,0.0,0.0,,,,,,,,0.0,14157141.44,46283369865.23,40847459059.48,14701122103.41,0.0,,,0.0,,0.0,,,0.0,0.0,,,,,,,,0.0,14157141.44,No,55069563.88,161382511.44,664610447.77,0.0,0.0,0.0,37086697.85,92536042.99,628744201.55,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
W1899,ZSOLV2JARSXX,S_26_01_01_01,1,31-12-2018,18APR2019:15:10:32,18APR2019:20:06:56,01JAN5999:00:00:00,Zorg,Onderlinge Waarborgmaatschappij DSW Zorgverzekeraar U.A.,"DSW Zorgverzekeraar u.a., OWM",T3,Actief,Verzekeraars,Zorg,Basis,,W1899,Onderlinge Waarborgmaatschappij DSW Zorgverzekeraar U.A.,814040000,,1780021326.82518,1780021326.82518,34881773.92,,,,,1837101.49,,1134371.75,,,,,,,,,,,,327541299.62,327541299.62,,,,,33263.84,,,,,,,367118910.74,31097343.27,31097343.27,1829570127.39217,1829570127.39217,,,,,,,,,,,,,,,,,,,,,1780511919.76912,1756946013.63449,23489386.557728,,,,,1287755.197916,,884809.965,,,,,,,,,,,,318299749.55636,318299749.55636,,,,,32565.29936,,,,,,,38813592.141415,23381094.398585,1829570127.39217,1807476338.37276,,,,,,,,,,,,,,,,,,,,,1829570127.39217,1807476338.37276,,,,,,,,,,,,,,,,,,,,,No,34881773.92,702729.74,33263.84,,,,23489386.557728,402945.232916,32565.29936,,,,,,,,,,,,,,,
W1902,ZSOLV2JARSXX,S_26_01_01_01,1,31-12-2018,18APR2019:15:13:02,18APR2019:20:06:56,01JAN5999:00:00:00,Zorg,Stad Holland Zorgverzekeraar Onderlinge Waarborgmaatschappij U.A.,Stad Holland Zorgverzekeraar UA OWM,T3,Actief,Verzekeraars,Zorg,Basis,,W1902,Stad Holland Zorgverzekeraar Onderlinge Waarborgmaatschappij U.A.,814080000,,324391612.212696,324391612.212696,8543479.34,,,,,173117.34,,1000.0,,,,,,,,,,,,64811542.78,64811542.78,,,,,8073.5,,,,,,,73468550.44,7693582.82,7693582.82,328906608.620238,328906608.620238,,,,,,,,,,,,,,,,,,,,,324466353.841784,320362212.846777,5753178.987556,,,,,99472.082756,,780.0,,,,,,,,,,,,63219240.127841,63219240.127841,,,,,7903.9565,,,,,,,9602751.479078,5784414.160922,328906608.620238,324889413.957504,,,,,,,,,,,,,,,,,,,,,328906608.620238,324889413.957504,,,,,,,,,,,,,,,,,,,,,No,8543479.34,172117.34,8073.5,,,,5753178.987556,98692.082756,7903.9565,,,,,,,,,,,,,,,
W1576,ZSOLV2JARSXX,S_26_01_01_01,1,31-12-2018,18APR2019:15:15:15,18APR2019:20:06:56,01JAN5999:00:00:00,Zorg,DSW Ziektekostenverzekeringen N.V.,DSW Ziektekostenverzekeringen N.V.,T3,Actief,Verzekeraars,Zorg,Aanvullend,,W1576,DSW Ziektekostenverzekeringen N.V.,814100000,,255257667.613024,255257667.613024,30670184.48,,,,,617882.89,,,,,,,,,,,,,,71585100.98,71585100.98,,,,,25196.44,,,,,,,102646802.32,27615441.31,27615441.31,197022643.137049,197022643.137049,,,,,,,,,,,,,,,,,,,,,255514574.563783,251285933.959566,20653302.228832,,,,,354294.049126,,,,,,,,,,,,,,68208309.5244869,68208309.5244869,,,,,24667.31476,,,,,,,34468228.049215,20762654.570785,197022643.137049,194961944.796637,,,,,,,,,,,,,,,,,,,,,197022643.137049,194961944.796637,,,,,,,,,,,,,,,,,,,,,No,30670184.48,617882.89,25196.44,,,,20653302.228832,354294.049126,24667.31476,,,,,,,,,,,,,,,
W0083,ZSOLV2JARSXX,S_26_01_01_01,2,31-12-2018,18APR2019:15:17:44,18APR2019:20:06:56,20JUN2019:20:05:31,"Schade, exclusief zorg",VIVAT Schadeverzekeringen N.V.,REAAL Schadeverzekeringen N.V.,T4,Niet actief,Verzekeraars,"Schade, exclusief zorg",,W0123,W0083,VIVAT Schadeverzekeringen N.V.,814120000,,1543485678.51,1543485678.51,,,0.0,,0.0,32789306.49,,32375456.86,,0.0,,,,,,,,,0.0,1519125431.77,1519125431.77,,,0.0,0.0,6998546.21,,,,,,,1101525744.02,0.0,339971.09,819346136.85,819346136.85,0.0,0.0,,,0.0,,0.0,,,0.0,0.0,,,,,,,,0.0,0.0,1562732747.47,1475312007.44,,,0.0,,0.0,25490157.73,,25252856.35,,0.0,,,,,,,,,0.0,1486713105.45,1486713105.45,,,0.0,0.0,6666868.57,,,,,,,0.0,254978.32,825129002.77,766932398.57,0.0,0.0,,,0.0,,0.0,,,0.0,0.0,,,,,,,,0.0,0.0,825129002.77,766932398.57,0.0,0.0,,,0.0,,0.0,,,0.0,0.0,,,,,,,,0.0,0.0,No,0.0,413849.63,6998546.21,0.0,0.0,0.0,0.0,237301.38,6666868.57,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
L0131,ZSOLV2JARSXX,S_26_01_01_01,2,31-12-2018,18APR2019:15:21:12,18APR2019:20:06:56,01JAN5999:00:00:00,Leven,Proteq Levensverzekeringen N.V.,Proteq levensverzekeringen N.V.,T4,Niet actief,Verzekeraars,Levensverzekeraar,,,L0131,Proteq Levensverzekeringen N.V.,814170000,,561013650.99,561013650.99,,,0.0,,0.0,,,0.0,,0.0,,,,,,,,,0.0,565071139.46,565071139.46,,,0.0,0.0,,,,,,,,524452941.19,0.0,0.0,421044111.72,421044111.72,0.0,0.0,,,0.0,,0.0,,,0.0,0.0,,,,,,,,0.0,0.0,592666056.4,483168256.91,,,0.0,,0.0,,,0.0,,0.0,,,,,,,,,0.0,553951165.26,553951165.26,,,0.0,0.0,,,,,,,,0.0,0.0,466405953.09,348601538.0,0.0,0.0,,,0.0,,0.0,,,0.0,0.0,,,,,,,,0.0,0.0,466815684.49,348601538.0,0.0,0.0,,,0.0,,0.0,,,0.0,0.0,,,,,,,,0.0,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
W0449,ZSOLV2JARSXX,S_26_01_01_01,1,31-12-2018,18APR2019:15:30:30,18APR2019:20:06:56,07MAY2019:20:11:03,"Schade, exclusief zorg",Onderlinge Hagelverzekering Maatschappij AgriVer B.A.,Agriver Onderlinge Hagelverzekering Maatschappij B.A.,T2,Niet actief,Verzekeraars,"Schade, exclusief zorg",,,W0449,Onderlinge Hagelverzekering Maatschappij AgriVer B.A.,814220000,,2308036.7,2308036.69,4179876.81,,392850.81,,0.0,172612.04,,0.0,,0.0,0.0,0.0,,,,,,,370000.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,,4722488.85,0.0,2444438.7,3082272.77,3082272.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,,0.0,0.0,2320476.64,2252456.82,2856485.13,,306423.63,,0.0,98970.19,,0.0,,0.0,0.0,0.0,,,,,,,277500.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,,0.0,1848696.89,3082272.93,3061143.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,,0.0,0.0,3082272.93,3061143.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,,0.0,0.0,No,3787026.0,172612.04,0.0,,0.0,0.0,2550061.5,98970.19,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,
W1749,ZSOLV2JARSXX,S_26_01_01_01,1,31-12-2018,18APR2019:15:58:43,18APR2019:20:06:56,01JAN5999:00:00:00,"Schade, exclusief zorg",OOM Schadeverzekering N.V.,OOM Schadeverzekering N.V.,T2,Actief,Verzekeraars,"Schade, exclusief zorg",,,C0084,OOM Holding N.V.,814430000,,10746354.83,10746354.83,1676131.28,,0.0,,0.0,591837.97,,0.0,,0.0,0.0,0.0,,,,,,,0.0,10746354.83,10746354.83,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,13014324.08,51531.49,362638.45,1117140.02,1117140.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,591717.55,64848.55,10930136.6,10030250.1,1128706.8,,0.0,,0.0,339359.89,,0.0,,0.0,0.0,0.0,,,,,,,0.0,10498685.91,10498685.91,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,64414.37,274361.95,1117651.16,1095729.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,738636.45,48877.2,1117651.16,1095729.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,738636.45,48877.2,No,1676131.28,591837.97,0.0,0.0,0.0,0.0,1128706.8,339359.89,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
L0058,ZSOLV2JARSXX,S_26_01_01_01,3,31-12-2018,18APR2019:15:59:57,18APR2019:20:06:56,07JUN2019:20:04:09,Leven,ASR Levensverzekering N.V.,ASR Levensverzekering N.V.,T4,Actief,Verzekeraars,Levensverzekeraar,,,C0002,ASR Nederland N.V.,814460000,,34742887674.2887,34742887674.2887,1389437289.58,,0.0,,0.0,474068666.380001,,0.0,,0.0,0.0,0.0,,,,,,,3051718089.88396,20696036604.7856,20696036604.7856,0.0,0.0,0.0,0.0,101733125.647787,,,0.0,,,,25424519758.6846,132843681.854997,799693473.393262,33122306028.0758,33122306028.0758,31366993561.9644,0.0,0.0,0.0,31366993561.9644,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,-161781745.318748,-72997075.6398138,36911506573.8002,30184670265.917,1062789387.96025,,0.0,,0.0,291881068.41597,,0.0,,0.0,0.0,0.0,,,,,,,2288788567.41297,19789494288.8119,19789494288.8119,0.0,0.0,0.0,0.0,61053458.0229242,,,0.0,,,,166054602.318746,601957610.238996,35504312486.4625,28680581028.6149,31391906885.0501,0.0,0.0,0.0,31347303204.2718,,0.0,0.0,0.0,0.0,0.0,-19305507.3511171,,,0.0,,,,-202227181.648435,-54747806.7298604,35504312486.4625,28680581028.6149,31399653857.9953,0.0,0.0,0.0,31361930874.4176,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,-202227181.648435,-54747806.7298604,No,1389437289.58,474068666.380001,71325170.481539,30407955.166248,0.0,0.0,1062789387.96025,291881068.41597,60343820.9330884,709637.089835815,0.0,-19305507.3511171,0.0,0.0,,,,,,,,,,
W1743,ZSOLV2JARSXX,S_26_01_01_01,1,31-12-2018,18APR2019:16:01:00,18APR2019:20:06:56,01JAN5999:00:00:00,"Schade, exclusief zorg",OOM Global Care N.V.,OOM Global Care N.V.,T2,Actief,Verzekeraars,"Schade, exclusief zorg",,,C0084,OOM Holding N.V.,814500000,,43335560.15,43335560.15,14591811.89,,0.0,,0.0,5152373.11,,0.0,,0.0,0.0,0.0,,,,,,,0.0,43335560.15,43335560.15,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,64677114.1,1000752.85,3422873.92,4918561.19,4918561.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,10180997.69,1334224.26,43844332.49,40867718.98,9826126.13,,0.0,,0.0,2954370.74,,0.0,,0.0,0.0,0.0,,,,,,,0.0,40747848.13,40747848.13,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,1250941.06,2635076.32,4918561.19,4848143.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,12708466.08,1004905.26,4918561.19,4848143.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,12708466.08,1004905.26,No,14591811.89,5152373.11,0.0,0.0,0.0,0.0,9826126.13,2954370.74,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
W0132,ZSOLV2JARSXX,S_26_01_01_01,3,31-12-2018,18APR2019:16:04:42,18APR2019:20:06:56,01JAN5999:00:00:00,"Schade, exclusief zorg",ASR Schadeverzekering N.V.,ASR Schadeverzekering N.V.,T4,Actief,Verzekeraars,"Schade, exclusief zorg",,,C0002,ASR Nederland N.V.,814520000,,4195041466.44651,4195041466.44651,276426673.71,,0.0,,0.0,84879227.9000001,,0.0,,0.0,0.0,0.0,,,,,,,687617751.718166,3895565429.96311,3895565429.96311,0.0,0.0,0.0,0.0,30925019.930304,,,0.0,,,,4932773037.65662,0.0,139296802.834382,3600590561.68716,3600590561.68716,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,0.0,-1610611.07811664,4301319824.54135,3870225125.9708,209928047.983219,,0.0,,0.0,52935583.7486046,,0.0,,0.0,0.0,0.0,,,,,,,515713313.788625,3773899832.0077,3773899832.0077,0.0,0.0,0.0,0.0,5999958.0403745,,,0.0,,,,0.0,104752492.034742,3692374838.87613,3307950503.88253,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,0.0,-1207958.30858748,3692374838.87613,3307950503.88253,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,0.0,-1207958.30858748,No,276426673.71,84879227.9000001,6320936.62,24604083.310304,0.0,0.0,209928047.983219,52935583.7486046,5922717.61294,77240.427434504,0.0,0.0,0.0,0.0,,,,,,,,,,
